island	sitename	depthname	quad	species	colony	depth	allfates	fate_prior	fate_t	year	asize	psize	yearNext	asizeNext	psizeNext	survIPM	fateIPM	fec1	fec2	fec3	offspringNext	spcover	allcover	fuseLGname	fuseLGsize	twoyear	
Ma	HonN	03m	1	PL	04	03	S		S	1999	148.991922	69.520127	2000	183.670630	86.303231	1	growth	0				270.033631	648.26974			0	
Ma	HonN	03m	1	PL	05	03	S		S	1999	15.301732	17.466945	2000	18.694411	19.802260	1	growth	0				270.033631	648.26974			0	
Ma	HonN	03m	1	PL	06	03	S		S	1999	24.519839	35.773077	2000	39.507729	41.313955	1	growth	0				270.033631	648.26974			0	
Ma	HonN	03m	1	PL	07	03	S		S	1999	8.908127	14.545058	2000	3.005945	7.406985	1	growth	0				270.033631	648.26974			0	
Ma	HonN	03m	1	PL	08	03	S		S	1999	5.586140	12.931488	2000	2.617122	8.335866	1	growth	0				270.033631	648.26974			0	
Ma	HonN	03m	1	PL	09	03	R		R	1999			2000	3.831153	8.511869		recruit				sexual	270.033631	648.26974			0	
Ma	HonN	03m	1	PL	10	03	R		R	1999			2000	2.642093	7.046859		recruit				sexual	270.033631	648.26974			0	
Ma	HonN	03m	1	PL	11	03	R		R	1999			2000	0.865636	4.115701		recruit				sexual	270.033631	648.26974			0	
Ma	HonN	03m	1	PV	01	03	S		S	1999	2.334603	10.129140	2000	0.883472	4.796692	1	growth	0				4.820945	648.26974			0	
Ma	HonN	03m	1	PV	02	03	S		S	1999	2.486342	10.384526	2000	0.707491	4.263435	1	growth	0				4.820945	648.26974			0	
Ma	HonN	03m	2	PC	01	03	S		S	1999	7.093233	22.336175	2000	14.852637	20.113321	1	growth	0				26.202495	454.612746			0	
Ma	HonN	03m	2	PC	02	03	U		U	1999	2.645898	6.741683	2000	8.542002	15.547707	0	fuseSM	0				26.202495	454.612746	03	2.936257	0	
Ma	HonN	03m	2	PC	03	03	U		U	1999	2.936257	6.769049	2000	8.542002	15.547707	1	fuseLG	0				26.202495	454.612746			0	
Ma	HonN	03m	2	PC	04	03	S		S	1999	3.624650	8.540191	2000	0.174102	1.607802	1	growth	0				26.202495	454.612746			0	
Ma	HonN	03m	2	PC	05	03	S		S	1999	9.902457	19.438607	2000	4.648956	9.591239	1	growth	0				26.202495	454.612746			0	
Ma	HonN	03m	2	PL	01	03	S		S	1999	3.619811	7.873653	2000	6.673163	15.182157	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	02	03	S		S	1999	1.252174	5.712188	2000	2.329436	9.437632	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	03	03	S		S	1999	31.866919	46.273499	2000	32.460047	41.845834	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	04	03	S		S	1999	3.496408	11.159498	2000	5.136000	9.128177	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	05	03	S		S	1999	16.300038	23.884638	2000	15.926999	21.743904	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	06	03	S		S	1999	11.351834	13.609412	2000	12.413009	15.287151	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	07	03	S		S	1999	35.907750	46.272899	2000	25.624903	45.037274	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	08	03	S		S	1999	3.346389	7.701912	2000	4.107918	9.162063	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	09	03	S		S	1999	4.810284	13.402164	2000	8.533186	20.787230	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	10	03	D		D	1999	1.338072	5.676681	2000			0	dead					335.158984	454.612746			0	
Ma	HonN	03m	2	PL	11	03	S		S	1999	59.970057	50.335348	2000	54.710904	39.087764	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	12a	03	I		I	1999	59.705104	52.036025	2000	20.880081	21.392508		fissSM		2	23.306486	clonal	335.158984	454.612746			0	
Ma	HonN	03m	2	PL	12b	03	I		I	1999	59.705104	52.036025	2000	2.426405	6.323972		fissSM		2	23.306486	clonal	335.158984	454.612746			0	
Ma	HonN	03m	2	PL	12	03	I		I	1999	59.705104	52.036025	2000	28.152683	26.972845	1	fissLG	1	2	23.306486		335.158984	454.612746			0	
Ma	HonN	03m	2	PL	13	03	S		S	1999	21.002647	28.961999	2000	24.855770	29.820944	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	14	03	S		S	1999	4.362647	9.654682	2000	0.405503	2.616425	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	15	03	S		S	1999	20.621550	19.355658	2000	26.245278	21.845848	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	16	03	S		S	1999	5.565217	9.977489	2000	2.372411	6.934542	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	17	03	S		S	1999	13.132703	26.739408	2000	13.212996	25.376720	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	18	03	S		S	1999	5.237353	10.433283	2000	2.974053	7.185089	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	20	03	S		S	1999	1.001739	4.097056	2000	1.075464	4.157837	1	growth	0				335.158984	454.612746			0	
