"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_prior","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","fec2","fec3","offspringNext","spcover","allcover","fuseLGname","fuseLGsize","twoyear","unknown","size","sizeNext","surv","rec1","rec2","rec3","stage","stageNext"
"23","Ma","HonN","03m",1,"PC","10",3,"S",NA,"S",1999,2.813663,7.728471,2000,0.309156,2.188133,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,1.03448719316949,-1.17390927511155,1,1,1,1,"continuous","continuous"
"24","Ma","HonN","03m",1,"PC","11",3,"S",NA,"S",1999,0.946197,4.672675,2000,4.26635,10.496273,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,-0.0553044863671607,1.45075866075311,1,1,1,1,"continuous","continuous"
"25","Ma","HonN","03m",1,"PC","12",3,"S",NA,"S",1999,0.765195,3.776767,2000,1.136742,4.302101,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,-0.267624575676802,0.128166276091005,1,1,1,1,"continuous","continuous"
"26","Ma","HonN","03m",1,"PC","13",3,"S",NA,"S",1999,1.239919,4.728876,2000,4.170036,9.108893,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,0.215046054902688,1.42792466886697,1,1,1,1,"continuous","continuous"
"27","Ma","HonN","03m",1,"PC","14",3,"S",NA,"S",1999,3.639554,8.693248,2000,11.040428,18.451516,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,1.29186114666902,2.40156380821343,1,1,1,1,"continuous","continuous"
"28","Ma","HonN","03m",1,"PC","15",3,"S",NA,"S",1999,2.368203,7.77503,2000,3.464923,7.497883,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,0.862131439698817,1.24269041017273,1,1,1,1,"continuous","continuous"
"29","Ma","HonN","03m",1,"PC","16",3,"S",NA,"S",1999,28.623279,34.701381,2000,15.488704,21.692301,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,3.35422033779625,2.74011098404665,1,1,1,1,"continuous","continuous"
"30","Ma","HonN","03m",1,"PC","17",3,"U",NA,"U",1999,13.528561,21.929421,2000,37.128419,49.912364,1,"fuseLG",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,2.60480308028109,3.61438268715854,1,1,1,1,"dead","continuous"
"31","Ma","HonN","03m",1,"PC","18",3,"U",NA,"U",1999,3.343664,8.579475,2000,37.128419,49.912364,0,"fuseSM",0,NA,NA,NA,136.512523,648.26974,"17",13.528561,0,NA,1.20706721170526,3.61438268715854,0,NA,NA,NA,"continuous","dead"
"32","Ma","HonN","03m",1,"PC","19a",3,"I",NA,"I",1999,7.985775,16.869673,2000,1.777646,5.782409,NA,"fissSM",NA,2,2.361475,"clonal",136.512523,648.26974,NA,NA,0,2,2.07766183393909,0.575290017156168,NA,NA,NA,NA,"continuous","continuous"
