Site,Depth (m),Taxon,year,cover
Puamana,3,Montipora patula,2000,0.991746032
Puamana,3,Pocillopora meandrina,2000,8.330833334
Puamana,3,Porites compressa,2000,0.455396826
Puamana,3,Porites lobata,2000,6.427301588
Honolua North,3,Montipora capitata,2001,2.253935586
Honolua North,3,Montipora flabellata,2001,0.767460374
Honolua North,3,Montipora patula,2001,1.301115758
Honolua North,3,Pocillopora meandrina,2001,0.437834784
Honolua North,3,Porites compressa,2001,0.844271162
Honolua North,3,Porites lobata,2001,6.196911396
Honolua South,3,Montipora capitata,2001,2.844051796
Honolua South,3,Montipora flabellata,2001,9.289005848
Honolua South,3,Montipora patula,2001,2.782372598
Honolua South,3,Pocillopora meandrina,2001,2.238855472
Honolua South,3,Porites compressa,2001,0.307635756
Honolua South,3,Porites lobata,2001,4.043784462
Kahekili,3,Montipora capitata,2001,2.693333334
Kahekili,3,Montipora flabellata,2001,0
Kahekili,3,Montipora patula,2001,2.32
Kahekili,3,Pocillopora meandrina,2001,1
Kahekili,3,Porites compressa,2001,2.76
Kahekili,3,Porites lobata,2001,20.49333334
Kahekili,7,Montipora capitata,2001,2.64
Kahekili,7,Montipora flabellata,2001,0.013333334
Kahekili,7,Montipora patula,2001,0.386666666
Kahekili,7,Pocillopora meandrina,2001,0.893333334
Kahekili,7,Porites compressa,2001,1.68
Kahekili,7,Porites lobata,2001,15.76
Molokini,8,Montipora capitata,2001,14.13333333
Molokini,8,Montipora flabellata,2001,0.026666666
Molokini,8,Montipora patula,2001,15.05333333
Molokini,8,Pocillopora meandrina,2001,1.28
Molokini,8,Porites compressa,2001,4.04
Molokini,8,Porites lobata,2001,18.29333333
Molokini,13,Montipora capitata,2001,38.28
Molokini,13,Montipora flabellata,2001,0
Molokini,13,Montipora patula,2001,30.54666666
Molokini,13,Pocillopora meandrina,2001,0.6
Molokini,13,Porites compressa,2001,1.44
Molokini,13,Porites lobata,2001,5.626666666
Olowalu,3,Montipora capitata,2001,6.386666666
Olowalu,3,Montipora flabellata,2001,0
Olowalu,3,Montipora patula,2001,3
Olowalu,3,Pocillopora meandrina,2001,1.266666666
Olowalu,3,Porites compressa,2001,3.413333334
Olowalu,3,Porites lobata,2001,5.093333334
Olowalu,7,Montipora capitata,2001,17.52
Olowalu,7,Montipora flabellata,2001,0
Olowalu,7,Montipora patula,2001,16.48
Olowalu,7,Pocillopora meandrina,2001,1.4
Olowalu,7,Porites compressa,2001,1.92
Olowalu,7,Porites lobata,2001,15.05333333
Papaula Pt.,10,Montipora capitata,2001,7.68
Papaula Pt.,10,Montipora flabellata,2001,28.01333334
Papaula Pt.,10,Montipora patula,2001,3
Papaula Pt.,10,Pocillopora meandrina,2001,0.64
Papaula Pt.,10,Porites compressa,2001,0.186666666
Papaula Pt.,10,Porites lobata,2001,4.28
Puamana,3,Montipora capitata,2001,0.970003798
Puamana,3,Montipora flabellata,2001,0.011111112
Puamana,3,Montipora patula,2001,1.092661958
Puamana,3,Pocillopora meandrina,2001,6.010551378
Puamana,3,Porites compressa,2001,0.128462824
Puamana,3,Porites lobata,2001,7.158036758
Honolua North,3,Montipora capitata,2002,2.603921568
Honolua North,3,Montipora flabellata,2002,0.839215686
Honolua North,3,Montipora patula,2002,1.487058824
Honolua North,3,Pocillopora meandrina,2002,1.130196078
Honolua North,3,Porites compressa,2002,0.522352942
Honolua North,3,Porites lobata,2002,6.410980392
Honolua South,3,Montipora capitata,2002,2.825
Honolua South,3,Montipora flabellata,2002,9.890833334
Honolua South,3,Montipora patula,2002,3.92
Honolua South,3,Pocillopora meandrina,2002,1.8125
Honolua South,3,Porites compressa,2002,0.233333334
Honolua South,3,Porites lobata,2002,3.651666666
Kahekili,3,Montipora capitata,2002,3.32004902
Kahekili,3,Montipora flabellata,2002,0
Kahekili,3,Montipora patula,2002,2.264068628
Kahekili,3,Pocillopora meandrina,2002,0.65754902
Kahekili,3,Porites compressa,2002,2.96004902
Kahekili,3,Porites lobata,2002,23.3237255
Kahekili,7,Montipora capitata,2002,2.915833334
Kahekili,7,Montipora flabellata,2002,0
Kahekili,7,Montipora patula,2002,0.265833334
Kahekili,7,Pocillopora meandrina,2002,0.306666666
Kahekili,7,Porites compressa,2002,1.813333334
Kahekili,7,Porites lobata,2002,15.9125
Molokini,8,Montipora capitata,2002,17.51666667
Molokini,8,Montipora flabellata,2002,0
Molokini,8,Montipora patula,2002,16.02333333
Molokini,8,Pocillopora meandrina,2002,1.406666666
Molokini,8,Porites compressa,2002,3.388333334
Molokini,8,Porites lobata,2002,20.515
Molokini,13,Montipora capitata,2002,42.48
Molokini,13,Montipora flabellata,2002,0.026666666
Molokini,13,Montipora patula,2002,34.8
Molokini,13,Pocillopora meandrina,2002,0.946666666
Molokini,13,Porites compressa,2002,0.826666666
Molokini,13,Porites lobata,2002,3.253333334
Olowalu,3,Montipora capitata,2002,8.076388888
Olowalu,3,Montipora flabellata,2002,0
Olowalu,3,Montipora patula,2002,1.836111112
Olowalu,3,Pocillopora meandrina,2002,1.790277778
Olowalu,3,Porites compressa,2002,3.625
Olowalu,3,Porites lobata,2002,4.816666666
Olowalu,7,Montipora capitata,2002,19.50382353
Olowalu,7,Montipora flabellata,2002,0
Olowalu,7,Montipora patula,2002,14.10058824
Olowalu,7,Pocillopora meandrina,2002,1.455637254
Olowalu,7,Porites compressa,2002,1.226666666
Olowalu,7,Porites lobata,2002,14.17147059
Papaula Pt.,10,Montipora capitata,2002,8.48006536
Papaula Pt.,10,Montipora flabellata,2002,35.26821896
Papaula Pt.,10,Montipora patula,2002,5.110294118
Papaula Pt.,10,Pocillopora meandrina,2002,0.573202614
Papaula Pt.,10,Porites compressa,2002,0.18251634
Papaula Pt.,10,Porites lobata,2002,3.732679738
Puamana,3,Montipora capitata,2002,0.940571896
Puamana,3,Montipora flabellata,2002,0
Puamana,3,Montipora patula,2002,1.089444444
Puamana,3,Pocillopora meandrina,2002,4.96635621
Puamana,3,Porites compressa,2002,0.145310458
Puamana,3,Porites lobata,2002,5.827990196
Honolua North,3,Montipora capitata,2003,1.045714286
Honolua North,3,Montipora flabellata,2003,0.860952381
