Site,Depth..m.,Depth,Taxon,utrans,year,cover
HonoluaN,3,S,Montipora capitata,Honolua North.3,2007,1.017575758
HonoluaS,3,S,Montipora capitata,Honolua South.3,2007,0.96
Kahekili,3,S,Montipora capitata,Kahekili.3,2007,5.44969697
Kahekili,7,D,Montipora capitata,Kahekili.7,2007,4.105454545
Molokini,8,D,Montipora capitata,Molokini.8,2007,21.43636364
Molokini,13,D,Montipora capitata,Molokini.13,2007,57.63111111
Olowalu,3,S,Montipora capitata,Olowalu.3,2007,5.461818182
Olowalu,7,D,Montipora capitata,Olowalu.7,2007,23.24
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2007,8.64
Puamana,3,S,Montipora capitata,Puamana.3,2007,NA
HonoluaN,3,S,Montipora capitata,Honolua North.3,2008,2.122222222
HonoluaS,3,S,Montipora capitata,Honolua South.3,2008,1.444444444
Kahekili,3,S,Montipora capitata,Kahekili.3,2008,5.531515152
Kahekili,7,D,Montipora capitata,Kahekili.7,2008,NA
Molokini,8,D,Montipora capitata,Molokini.8,2008,22.70181818
Molokini,13,D,Montipora capitata,Molokini.13,2008,59.54909091
Olowalu,3,S,Montipora capitata,Olowalu.3,2008,4.052727273
Olowalu,7,D,Montipora capitata,Olowalu.7,2008,23.15857032
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2008,3.730909091
Puamana,3,S,Montipora capitata,Puamana.3,2008,0.556363636
HonoluaN,3,S,Montipora capitata,Honolua North.3,2009,1.224149184
HonoluaS,3,S,Montipora capitata,Honolua South.3,2009,0.380792541
Kahekili,3,S,Montipora capitata,Kahekili.3,2009,5.911919192
Kahekili,7,D,Montipora capitata,Kahekili.7,2009,5.44
Molokini,8,D,Montipora capitata,Molokini.8,2009,22.87132867
Molokini,13,D,Montipora capitata,Molokini.13,2009,59.66666667
Olowalu,3,S,Montipora capitata,Olowalu.3,2009,4.281010101
Olowalu,7,D,Montipora capitata,Olowalu.7,2009,20.15535354
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2009,2.620606061
Puamana,3,S,Montipora capitata,Puamana.3,2009,0.258181818
HonoluaN,3,S,Montipora capitata,Honolua North.3,2010,1.906060606
HonoluaS,3,S,Montipora capitata,Honolua South.3,2010,0.352727273
Kahekili,3,S,Montipora capitata,Kahekili.3,2010,4.992121212
Kahekili,7,D,Montipora capitata,Kahekili.7,2010,5.393939394
Molokini,8,D,Montipora capitata,Molokini.8,2010,21.7
Molokini,13,D,Montipora capitata,Molokini.13,2010,60.16060606
Olowalu,3,S,Montipora capitata,Olowalu.3,2010,3.793240093
Olowalu,7,D,Montipora capitata,Olowalu.7,2010,22.65757576
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2010,2.017489177
Puamana,3,S,Montipora capitata,Puamana.3,2010,0.106060606
HonoluaN,3,S,Montipora capitata,Honolua North.3,2011,1.018787879
HonoluaS,3,S,Montipora capitata,Honolua South.3,2011,0.145454545
Kahekili,3,S,Montipora capitata,Kahekili.3,2011,6.04
Kahekili,7,D,Montipora capitata,Kahekili.7,2011,3.970909091
Molokini,8,D,Montipora capitata,Molokini.8,2011,22.77575758
Molokini,13,D,Montipora capitata,Molokini.13,2011,52.03515152
Olowalu,3,S,Montipora capitata,Olowalu.3,2011,5.103216783
Olowalu,7,D,Montipora capitata,Olowalu.7,2011,18.59515152
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2011,1.665454545
Puamana,3,S,Montipora capitata,Puamana.3,2011,0.258181818
HonoluaN,3,S,Montipora capitata,Honolua North.3,2012,1.648282828
HonoluaS,3,S,Montipora capitata,Honolua South.3,2012,0.556363636
Kahekili,3,S,Montipora capitata,Kahekili.3,2012,6.643636364
Kahekili,7,D,Montipora capitata,Kahekili.7,2012,3.956363636
Molokini,8,D,Montipora capitata,Molokini.8,2012,18.60032634
Molokini,13,D,Montipora capitata,Molokini.13,2012,51.71515152
Olowalu,3,S,Montipora capitata,Olowalu.3,2012,4.128340548
Olowalu,7,D,Montipora capitata,Olowalu.7,2012,17.09757576
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2012,1.386060606
Puamana,3,S,Montipora capitata,Puamana.3,2012,0.036363636
