Label,Site,Transect,Species,Area,Perim.,Major,Minor,Angle
Kahakili Transect 1_07.tif:mp15,Kahekili,1,M. patula,2.2,5.6,1.7,1.6,39
Kahakili Transect 1_07.tif:mp16,Kahekili,1,M. patula,0.7,3.4,1.2,0.8,135
Kahakili Transect 1_07.tif:mp17,Kahekili,1,M. patula,11,20.4,6.4,2.2,45.5
Kahakili Transect 1_07.tif:mp18,Kahekili,1,M. patula,3.4,8,3.1,1.4,140.8
Kahakili Transect 1_07.tif:mp2,Kahekili,1,M. patula,36.1,34.5,11.4,4,142.2
Kahakili Transect 1_07.tif:mp3,Kahekili,1,M. patula,34,27,7.4,5.8,108.7
Kahakili Transect 1_07.tif:mp4,Kahekili,1,M. patula,79.1,44.5,10.6,9.5,68.7
Kahakili Transect 1_07.tif:mp5,Kahekili,1,M. patula,6.9,10.8,3.6,2.4,133.5
Kahakili Transect 1_07.tif:mp6,Kahekili,1,M. patula,3.8,8.2,2.4,2,54.6
Kahakili Transect 1_07.tif:mp7,Kahekili,1,M. patula,3.8,7.4,2.5,2,164.8
Kahakili Transect 1_07.tif:mp8,Kahekili,1,M. patula,28,28.4,6.4,5.5,101
Kahakili Transect 1_07.tif:mp9,Kahekili,1,M. patula,22.8,26,7.4,3.9,171.1
Kahakili Transect 1_07.tif:pl1,Kahekili,1,P. lobata,107,43.2,12.2,11.1,21.8
Kahakili Transect 1_08.tif:mc1,Kahekili,1,M. capitata,4.2,9,2.4,2.2,100.2
Kahakili Transect 1_08.tif:mc10,Kahekili,1,M. capitata,2,6,1.7,1.5,41.3
Kahakili Transect 1_08.tif:mc11,Kahekili,1,M. capitata,1.8,5.6,2.1,1.1,130
Kahakili Transect 1_08.tif:mc12,Kahekili,1,M. capitata,4.5,8,2.9,2,24.4
Kahakili Transect 1_08.tif:mc13,Kahekili,1,M. capitata,2.6,7,2.2,1.5,92
Kahakili Transect 1_08.tif:mc14,Kahekili,1,M. capitata,2.2,6.2,2.3,1.2,165.2
Kahakili Transect 1_08.tif:mc15,Kahekili,1,M. capitata,3.4,7.5,3,1.4,45.7
Kahakili Transect 1_08.tif:mc16,Kahekili,1,M. capitata,4.1,9,2.8,1.9,91.8
Kahakili Transect 1_08.tif:mc17,Kahekili,1,M. capitata,37.5,34.8,9.6,5,56
Kahakili Transect 1_08.tif:mc18,Kahekili,1,M. capitata,3.7,7.7,2.7,1.7,60.4
Kahakili Transect 1_08.tif:mc2,Kahekili,1,M. capitata,5.8,12.1,4.5,1.6,178.2
Kahakili Transect 1_08.tif:mc3,Kahekili,1,M. capitata,7.9,14.4,3.5,2.9,107.3
Kahakili Transect 1_08.tif:mc4,Kahekili,1,M. capitata,17.1,24,7.5,2.9,104.9
Kahakili Transect 1_08.tif:mc5,Kahekili,1,M. capitata,31.7,30.5,8.8,4.6,142.3
Kahakili Transect 1_08.tif:mc6,Kahekili,1,M. capitata,10.4,13.8,3.7,3.6,11.8
Kahakili Transect 1_08.tif:mc7,Kahekili,1,M. capitata,9,15.1,5.7,2,117.3
Kahakili Transect 1_08.tif:mc8,Kahekili,1,M. capitata,2.8,8.1,2.6,1.3,66.4
Kahakili Transect 1_08.tif:mc9,Kahekili,1,M. capitata,3,6.5,2.4,1.6,179.6
Kahakili Transect 1_08.tif:mp1,Kahekili,1,M. patula,4.7,11.2,4.3,1.4,43.2
Kahakili Transect 1_08.tif:mp10,Kahekili,1,M. patula,8.7,15.4,5.6,2,160
Kahakili Transect 1_08.tif:mp11,Kahekili,1,M. patula,20.1,19.3,6.8,3.7,64.4
Kahakili Transect 1_08.tif:mp12,Kahekili,1,M. patula,7.6,14.7,4,2.4,175.4
Kahakili Transect 1_08.tif:mp13,Kahekili,1,M. patula,3.7,8.5,2.9,1.6,91.1
Kahakili Transect 1_08.tif:mp14,Kahekili,1,M. patula,13.1,14.5,4.5,3.7,10.9
Kahakili Transect 1_08.tif:mp15,Kahekili,1,M. patula,167.1,72.8,17.8,12,175.9
Kahakili Transect 1_08.tif:mp16,Kahekili,1,M. patula,26.2,27.6,8.1,4.1,163.6
Kahakili Transect 1_08.tif:mp17,Kahekili,1,M. patula,66.2,50,14.9,5.6,153.7
Kahakili Transect 1_08.tif:mp18,Kahekili,1,M. patula,6.4,15.3,5,1.6,85.7
Kahakili Transect 1_08.tif:mp19,Kahekili,1,M. patula,64.8,33.8,10.6,7.8,113.3
Kahakili Transect 1_08.tif:mp2,Kahekili,1,M. patula,4.2,8.5,3,1.8,157.1
Kahakili Transect 1_08.tif:mp3,Kahekili,1,M. patula,151.8,87.3,15.5,12.5,156.1
Kahakili Transect 1_08.tif:mp4,Kahekili,1,M. patula,1.3,4.5,1.6,1.1,67.9
Kahakili Transect 1_08.tif:mp5,Kahekili,1,M. patula,1.3,4.5,1.6,1.1,126.6
Kahakili Transect 1_08.tif:mp6,Kahekili,1,M. patula,70.8,66.1,11.1,8.1,109.1
Kahakili Transect 1_08.tif:mp7,Kahekili,1,M. patula,7.7,13.6,4.8,2,122.4
Kahakili Transect 1_08.tif:mp8,Kahekili,1,M. patula,201.1,113.5,17.9,14.3,19.4
Kahakili Transect 1_08.tif:mp9,Kahekili,1,M. patula,84.3,51.5,11.6,9.3,104.9
Kahakili Transect 1_08.tif:pc1,Kahekili,1,P. compressa,6.6,11.5,3.5,2.4,70.4
Kahakili Transect 1_08.tif:pc2,Kahekili,1,P. compressa,13.8,18.3,5.8,3,103.4
Kahakili Transect 1_08.tif:pc3,Kahekili,1,P. compressa,10.5,12.6,4.3,3.1,149.4
Kahakili Transect 1_08.tif:pl1,Kahekili,1,P. lobata,34.1,30,10.6,4.1,51.3
Kahakili Transect 1_08.tif:pl2,Kahekili,1,P. lobata,1.6,5.1,1.7,1.2,113.8
Kahakili Transect 1_08.tif:pl3,Kahekili,1,P. lobata,16.2,18.2,5.1,4.1,97.7
Kahakili Transect 1_08.tif:pm1,Kahekili,1,P. meandrina,503.2,134,31.3,20.5,9.2
Kahakili Transect 1_08.tif:pm2,Kahekili,1,P. meandrina,132.1,60.2,13.9,12.1,50.4
Kahakili Transect 1_09.tif:mc1,Kahekili,1,M. capitata,1.2,4.2,1.4,1.1,126.9
Kahakili Transect 1_09.tif:mc2,Kahekili,1,M. capitata,3.1,7.4,2.5,1.6,77.1
Kahakili Transect 1_09.tif:mc3,Kahekili,1,M. capitata,0.8,3.4,1.2,0.8,159
Kahakili Transect 1_09.tif:mc4,Kahekili,1,M. capitata,6.2,12.4,4.2,1.9,42.5
Kahakili Transect 1_09.tif:mc5,Kahekili,1,M. capitata,1.2,4.6,1.8,0.8,43.6
Kahakili Transect 1_10.tif:mc1,Kahekili,1,M. capitata,6,10.1,3.4,2.3,86.8
Kahakili Transect 1_10.tif:mc10,Kahekili,1,M. capitata,0.8,3.4,1.2,0.8,146.1
Kahakili Transect 1_10.tif:mc11,Kahekili,1,M. capitata,0.6,4.2,1.1,0.7,49.1
Kahakili Transect 1_10.tif:mc12,Kahekili,1,M. capitata,8.3,11.7,3.8,2.8,62.6
Kahakili Transect 1_10.tif:mc13,Kahekili,1,M. capitata,34.3,27,9.7,4.5,5.9
Kahakili Transect 1_10.tif:mc14,Kahekili,1,M. capitata,2,5.3,1.8,1.4,42.1
Kahakili Transect 1_10.tif:mc15,Kahekili,1,M. capitata,4.6,8.8,3,1.9,127.8
Kahakili Transect 1_10.tif:mc16,Kahekili,1,M. capitata,2.8,7.6,3.2,1.1,89.6
Kahakili Transect 1_10.tif:mc2,Kahekili,1,M. capitata,4.4,8.7,3.1,1.8,36.5
Kahakili Transect 1_10.tif:mc3,Kahekili,1,M. capitata,8.2,15.5,5.9,1.8,172.7
Kahakili Transect 1_10.tif:mc4,Kahekili,1,M. capitata,1,4.2,1.7,0.8,132.7
Kahakili Transect 1_10.tif:mc5,Kahekili,1,M. capitata,1.5,4.7,1.8,1.1,75.1
Kahakili Transect 1_10.tif:mc6,Kahekili,1,M. capitata,3.7,7.6,2.6,1.8,71.6
Kahakili Transect 1_10.tif:mc7,Kahekili,1,M. capitata,2.9,6.7,2.2,1.6,143.4
Kahakili Transect 1_10.tif:mc8,Kahekili,1,M. capitata,24.7,25.4,8.2,3.8,145.8
Kahakili Transect 1_10.tif:mc9,Kahekili,1,M. capitata,3.4,7.6,2.6,1.7,125.9
Kahakili Transect 1_10.tif:mp1,Kahekili,1,M. patula,44,33,9.2,6.1,2
Kahakili Transect 1_10.tif:mp10,Kahekili,1,M. patula,6.6,11.4,3.5,2.4,59.7
Kahakili Transect 1_10.tif:mp11,Kahekili,1,M. patula,3.1,7.3,2.4,1.7,103.8
Kahakili Transect 1_10.tif:mp12,Kahekili,1,M. patula,36.7,41.1,11.5,4,90
Kahakili Transect 1_10.tif:mp13,Kahekili,1,M. patula,3.7,8.6,3.4,1.4,114.4
Kahakili Transect 1_10.tif:mp2,Kahekili,1,M. patula,5.1,9.3,3.5,1.8,113.9
Kahakili Transect 1_10.tif:mp3,Kahekili,1,M. patula,160.1,79.1,15.3,13.3,110.9
Kahakili Transect 1_10.tif:mp4,Kahekili,1,M. patula,25.3,37.7,13.2,2.4,179.4
Kahakili Transect 1_10.tif:mp5,Kahekili,1,M. patula,18.6,30,8.1,2.9,167.8
Kahakili Transect 1_10.tif:mp6,Kahekili,1,M. patula,1.6,5.8,2.3,0.9,90.8
Kahakili Transect 1_10.tif:mp7,Kahekili,1,M. patula,1.9,5.4,1.8,1.4,106
Kahakili Transect 1_10.tif:mp8,Kahekili,1,M. patula,5.2,11.7,3.5,1.9,52.1
Kahakili Transect 1_10.tif:mp9,Kahekili,1,M. patula,4.6,9.6,3,2,113.1
Kahakili Transect 1_10.tif:pl1,Kahekili,1,P. lobata,21.8,20.4,6.5,4.3,120.8
Kahakili Transect 1_10.tif:pl2,Kahekili,1,P. lobata,492.3,123,31.3,20,1.5
Kahakili Transect 1_11.tif:mc1,Kahekili,1,M. capitata,1.9,7.8,2.5,1,148.4
Kahakili Transect 1_11.tif:mc10,Kahekili,1,M. capitata,2.6,6.2,2.2,1.5,11.5
Kahakili Transect 1_11.tif:mc11,Kahekili,1,M. capitata,2.2,5.7,2.1,1.3,23.7
Kahakili Transect 1_11.tif:mc12,Kahekili,1,M. capitata,1.1,4.1,1.5,1,175.9
Kahakili Transect 1_11.tif:mc13,Kahekili,1,M. capitata,1.7,5.5,1.9,1.1,141.9
Kahakili Transect 1_11.tif:mc14,Kahekili,1,M. capitata,1.9,5.2,1.8,1.4,121.6
Kahakili Transect 1_11.tif:mc15,Kahekili,1,M. capitata,1.2,4.1,1.3,1.2,91.8
Kahakili Transect 1_11.tif:mc16,Kahekili,1,M. capitata,2.4,5.9,2,1.5,134.1
Kahakili Transect 1_11.tif:mc2,Kahekili,1,M. capitata,5.3,9.4,3.5,1.9,3.7
Kahakili Transect 1_11.tif:mc3,Kahekili,1,M. capitata,0.7,3.3,1.2,0.7,2.4
Kahakili Transect 1_11.tif:mc4,Kahekili,1,M. capitata,2,6.2,2.5,1,17.2
Kahakili Transect 1_11.tif:mc5,Kahekili,1,M. capitata,1.4,4.5,1.4,1.3,147.8
Kahakili Transect 1_11.tif:mc6,Kahekili,1,M. capitata,4,10.7,3.5,1.5,150.1
Kahakili Transect 1_11.tif:mc7,Kahekili,1,M. capitata,6,11.1,3.7,2.1,147.6
Kahakili Transect 1_11.tif:mc8,Kahekili,1,M. capitata,2.7,9.7,3.1,1.1,80.5
Kahakili Transect 1_11.tif:mc9,Kahekili,1,M. capitata,2.2,7.2,2.9,1,13.2
Kahakili Transect 1_11.tif:mp1,Kahekili,1,M. patula,51.5,42.6,11.3,5.8,29
Kahakili Transect 1_11.tif:mp2,Kahekili,1,M. patula,33.5,27,7.3,5.8,14.7
Kahakili Transect 1_11.tif:mp3,Kahekili,1,M. patula,3.6,7,2.5,1.9,20.8
Kahakili Transect 1_11.tif:mp4,Kahekili,1,M. patula,5.5,11,3.5,2,128.2
Kahakili Transect 1_11.tif:mp5,Kahekili,1,M. patula,21.5,22.2,6.8,4,127.5
Kahakili Transect 1_11.tif:mp6,Kahekili,1,M. patula,29.6,21.9,8.1,4.7,134.2
Kahakili Transect 1_11.tif:mp7,Kahekili,1,M. patula,4.8,9.9,4.2,1.4,61.1
Kahakili Transect 1_12.tif:mc1,Kahekili,1,M. capitata,3.7,7.9,2.4,1.9,117.3
Kahakili Transect 1_12.tif:mc10,Kahekili,1,M. capitata,18.7,23,6.3,3.8,134.9
Kahakili Transect 1_12.tif:mc2,Kahekili,1,M. capitata,0.9,3.6,1.1,1,151
Kahakili Transect 1_12.tif:mc3,Kahekili,1,M. capitata,8.3,13,5.2,2,149.8
Kahakili Transect 1_12.tif:mc4,Kahekili,1,M. capitata,1.5,4.6,1.6,1.2,177.2
Kahakili Transect 1_12.tif:mc5,Kahekili,1,M. capitata,2.7,6.1,2,1.7,64.1
Kahakili Transect 1_12.tif:mc6,Kahekili,1,M. capitata,5.7,9.9,4,1.8,14.1
Kahakili Transect 1_12.tif:mc7,Kahekili,1,M. capitata,3,7,2.8,1.4,137.2
Kahakili Transect 1_12.tif:mc8,Kahekili,1,M. capitata,4.9,8.8,3,2,162.8
Kahakili Transect 1_12.tif:mc9,Kahekili,1,M. capitata,2.3,5.7,1.8,1.7,48.8
Kahakili Transect 1_12.tif:mp1,Kahekili,1,M. patula,96.2,58.2,12.5,9.8,99.7
Kahakili Transect 1_12.tif:mp2,Kahekili,1,M. patula,7.2,10,3.2,2.9,69.1
Kahakili Transect 1_13.tif:mc1,Kahekili,1,M. capitata,7,12.5,4.7,1.9,8.8
Kahakili Transect 1_13.tif:mc10,Kahekili,1,M. capitata,1.3,4.3,1.5,1.1,169.1
Kahakili Transect 1_13.tif:mc11,Kahekili,1,M. capitata,2.6,8.4,3.3,1,92.4
Kahakili Transect 1_13.tif:mc12,Kahekili,1,M. capitata,1.7,5.2,1.9,1.1,104.8
Kahakili Transect 1_13.tif:mc13,Kahekili,1,M. capitata,1.2,4.1,1.5,1,135.8
Kahakili Transect 1_13.tif:mc14,Kahekili,1,M. capitata,4,10.2,2.6,2,41.3
Kahakili Transect 1_13.tif:mc15,Kahekili,1,M. capitata,4.2,8.2,2.8,1.9,116.1
Kahakili Transect 1_13.tif:mc16,Kahekili,1,M. capitata,1.9,5.5,2,1.2,19.3
Kahakili Transect 1_13.tif:mc17,Kahekili,1,M. capitata,3.6,7.6,2.6,1.8,90.2
Kahakili Transect 1_13.tif:mc18,Kahekili,1,M. capitata,3.9,9.9,3.7,1.3,158.7
Kahakili Transect 1_13.tif:mc2,Kahekili,1,M. capitata,6,10.3,3.1,2.5,1.7
Kahakili Transect 1_13.tif:mc3,Kahekili,1,M. capitata,4.7,13.5,4.1,1.4,154.5
Kahakili Transect 1_13.tif:mc4,Kahekili,1,M. capitata,1.2,4.2,1.5,1,16.6
Kahakili Transect 1_13.tif:mc5,Kahekili,1,M. capitata,14.7,20.6,5.3,3.5,21.7
Kahakili Transect 1_13.tif:mc6,Kahekili,1,M. capitata,2.2,5.9,2,1.4,85.1
Kahakili Transect 1_13.tif:mc7,Kahekili,1,M. capitata,1.9,6,2.4,1,0.9
Kahakili Transect 1_13.tif:mc8,Kahekili,1,M. capitata,0.6,3.2,1.2,0.7,45.5
Kahakili Transect 1_13.tif:mc9,Kahekili,1,M. capitata,1.5,4.9,1.7,1.1,155.2
Kahakili Transect 1_13.tif:mp1,Kahekili,1,M. patula,5.2,10,3.1,2.1,0.6
Kahakili Transect 1_13.tif:mp10,Kahekili,1,M. patula,6.7,11.7,4.7,1.8,135.1
Kahakili Transect 1_13.tif:mp11,Kahekili,1,M. patula,17.5,18.2,6,3.7,96.4
Kahakili Transect 1_13.tif:mp12,Kahekili,1,M. patula,74.4,42.9,10.3,9.2,11.2
Kahakili Transect 1_13.tif:mp13,Kahekili,1,M. patula,8.5,12.3,4.3,2.5,153.3
Kahakili Transect 1_13.tif:mp14,Kahekili,1,M. patula,55.8,39.3,11,6.4,77.5
Kahakili Transect 1_13.tif:mp2,Kahekili,1,M. patula,4.2,9.9,3.5,1.5,140.7
Kahakili Transect 1_13.tif:mp3,Kahekili,1,M. patula,14.9,17.2,5.2,3.6,137.4
Kahakili Transect 1_13.tif:mp4,Kahekili,1,M. patula,3.2,8,2.6,1.6,19.1
Kahakili Transect 1_13.tif:mp5,Kahekili,1,M. patula,19.4,20.8,7.4,3.3,23.8
Kahakili Transect 1_13.tif:mp6,Kahekili,1,M. patula,4.9,8.6,3.1,2,54.9
Kahakili Transect 1_13.tif:mp7,Kahekili,1,M. patula,37.5,32.8,9,5.3,0.9
Kahakili Transect 1_13.tif:mp8,Kahekili,1,M. patula,67.6,55.4,15.3,5.6,3.5
Kahakili Transect 1_13.tif:mp9,Kahekili,1,M. patula,15.2,20.3,5.9,3.3,65.6
Kahakili Transect 1_13.tif:pc1,Kahekili,1,P. compressa,21,24.5,6.9,3.9,31.6
Kahakili Transect 1_13.tif:pc2,Kahekili,1,P. compressa,12.2,17,5.2,3,57.4
Kahakili Transect 1_13.tif:pc3,Kahekili,1,P. compressa,4.7,9.3,3,2,53.2
Kahakili Transect 1_13.tif:pc4,Kahekili,1,P. compressa,12.3,16.4,4.9,3.2,11.1
Kahakili Transect 1_13.tif:pl1,Kahekili,1,P. lobata,2099.5,253.3,62.2,43,33.3
Kahakili Transect 1_13.tif:pl10,Kahekili,1,P. lobata,56.9,34.5,11,6.6,21.8
Kahakili Transect 1_13.tif:pl11,Kahekili,1,P. lobata,532.3,195.6,43.9,15.5,3.9
Kahakili Transect 1_13.tif:pl12,Kahekili,1,P. lobata,59.2,32.1,10.6,7.1,29.2
Kahakili Transect 1_13.tif:pl13,Kahekili,1,P. lobata,24.1,19.6,6.9,4.4,177.4
Kahakili Transect 1_13.tif:pl14,Kahekili,1,P. lobata,27.1,20.7,7.7,4.5,167.2
Kahakili Transect 1_13.tif:pl2,Kahekili,1,P. lobata,71.4,34,10.5,8.7,67.1
Kahakili Transect 1_13.tif:pl3,Kahekili,1,P. lobata,232.5,112.2,21.1,14,55.1
Kahakili Transect 1_13.tif:pl4,Kahekili,1,P. lobata,263.4,131.6,27.5,12.2,103.4
Kahakili Transect 1_13.tif:pl5,Kahekili,1,P. lobata,11.4,14.2,4.8,3,16.9
Kahakili Transect 1_13.tif:pl6,Kahekili,1,P. lobata,27.7,21.1,6.8,5.2,110.4
Kahakili Transect 1_13.tif:pl7,Kahekili,1,P. lobata,10.2,12.2,4.2,3.1,29.3
Kahakili Transect 1_13.tif:pl8,Kahekili,1,P. lobata,5.5,9.7,3.7,1.9,113.4
Kahakili Transect 1_13.tif:pl9,Kahekili,1,P. lobata,13.2,13.6,4.6,3.6,12.4
Kahakili Transect 1_13.tif:pm1,Kahekili,1,P. meandrina,107.2,62.7,12.1,11.3,125.3
Kahakili Transect 1_13.tif:pm2,Kahekili,1,P. meandrina,10.3,11.9,4.1,3.2,9.8
Kahakili Transect 1_13.tif:pm3,Kahekili,1,P. meandrina,46,53.4,12,4.9,69.9
Kahakili Transect 1_14.tif:mc1,Kahekili,1,M. capitata,21.8,28.2,8.4,3.3,83.1
Kahakili Transect 1_14.tif:mc2,Kahekili,1,M. capitata,23.1,21,5.8,5.1,111.6
Kahakili Transect 1_14.tif:mc3,Kahekili,1,M. capitata,1.6,5,1.8,1.1,65.2
Kahakili Transect 1_14.tif:mc4,Kahekili,1,M. capitata,11.5,14.7,4.4,3.3,157.7
Kahakili Transect 1_14.tif:mc5,Kahekili,1,M. capitata,30.9,27,8.7,4.5,101.2
Kahakili Transect 1_14.tif:mc6,Kahekili,1,M. capitata,0.9,3.8,1.4,0.8,143.2
Kahakili Transect 1_14.tif:mc7,Kahekili,1,M. capitata,1.7,5.6,2.1,1.1,106.6
Kahakili Transect 1_14.tif:mc8,Kahekili,1,M. capitata,1.1,4.4,1.6,0.9,83.3
Kahakili Transect 1_14.tif:mc9,Kahekili,1,M. capitata,1.6,5.3,1.9,1,31.8
Kahakili Transect 1_14.tif:mp1,Kahekili,1,M. patula,8.6,12.6,4.2,2.6,111.6
Kahakili Transect 1_14.tif:mp2,Kahekili,1,M. patula,5.4,9.8,2.8,2.5,159.5
Kahakili Transect 1_14.tif:mp3,Kahekili,1,M. patula,115.4,47.2,12.8,11.5,153.6
Kahakili Transect 1_14.tif:mp4,Kahekili,1,M. patula,8.3,11.6,4.3,2.4,137.3
Kahakili Transect 1_14.tif:mp5,Kahekili,1,M. patula,80,56.8,15.2,6.7,158.5
Kahakili Transect 1_14.tif:mp6,Kahekili,1,M. patula,6,14.9,5,1.5,19.4
Kahakili Transect 1_14.tif:mp8,Kahekili,1,M. patula,130.1,72.2,15.8,10.5,159.5
Kahakili Transect 1_14.tif:mp9,Kahekili,1,M. patula,5.1,11.2,3.6,1.8,99.5
Kahakili Transect 1_15.tif:mc1,Kahekili,1,M. capitata,6.2,10.1,3.5,2.2,35.8
Kahakili Transect 1_15.tif:mc10,Kahekili,1,M. capitata,3.1,6.9,2.6,1.5,164
Kahakili Transect 1_15.tif:mc11,Kahekili,1,M. capitata,5.5,10.9,4.1,1.7,133.4
Kahakili Transect 1_15.tif:mc12,Kahekili,1,M. capitata,2.4,5.7,1.9,1.6,120.1
Kahakili Transect 1_15.tif:mc13,Kahekili,1,M. capitata,8.9,11.4,4,2.8,178.1
Kahakili Transect 1_15.tif:mc2,Kahekili,1,M. capitata,8.8,14.5,6.1,1.8,171.8
Kahakili Transect 1_15.tif:mc3,Kahekili,1,M. capitata,1.7,5,1.6,1.3,80.9
Kahakili Transect 1_15.tif:mc4,Kahekili,1,M. capitata,7.9,14.7,5.9,1.7,167.3
Kahakili Transect 1_15.tif:mc5,Kahekili,1,M. capitata,18.8,20.1,6.9,3.5,156.2
Kahakili Transect 1_15.tif:mc6,Kahekili,1,M. capitata,1.9,5.9,2.3,1.1,6.2
Kahakili Transect 1_15.tif:mc7,Kahekili,1,M. capitata,2.3,6.8,2.7,1.1,40.3
Kahakili Transect 1_15.tif:mc8,Kahekili,1,M. capitata,40.5,71.3,13.4,3.8,172.8
Kahakili Transect 1_15.tif:mc9,Kahekili,1,M. capitata,28.3,31.6,6.9,5.2,68.5
Kahakili Transect 1_15.tif:mp1,Kahekili,1,M. patula,6.2,13.9,4.6,1.7,150.5
Kahakili Transect 1_15.tif:mp10,Kahekili,1,M. patula,32,34.9,9.1,4.5,38.3
Kahakili Transect 1_15.tif:mp11,Kahekili,1,M. patula,29.2,51.6,7.6,4.9,14.2
Kahakili Transect 1_15.tif:mp12,Kahekili,1,M. patula,33.5,23.9,6.7,6.3,135.6
Kahakili Transect 1_15.tif:mp2,Kahekili,1,M. patula,273,98.2,25.3,13.7,2.9
Kahakili Transect 1_15.tif:mp3,Kahekili,1,M. patula,3.8,12.2,4.3,1.1,34
Kahakili Transect 1_15.tif:mp4,Kahekili,1,M. patula,11.6,16.6,6.3,2.4,57.3
Kahakili Transect 1_15.tif:mp5,Kahekili,1,M. patula,55.4,67.1,14.3,4.9,51.4
Kahakili Transect 1_15.tif:mp6,Kahekili,1,M. patula,3,6.6,2.4,1.6,4.8
Kahakili Transect 1_15.tif:mp7,Kahekili,1,M. patula,3.6,7.1,2.4,1.9,88.6
Kahakili Transect 1_15.tif:mp8,Kahekili,1,M. patula,26.5,36.8,7.9,4.3,161.5
Kahakili Transect 1_15.tif:mp9,Kahekili,1,M. patula,47.3,37.4,12,5,149.2
Kahakili Transect 1_15.tif:pl1,Kahekili,1,P. lobata,2373.7,225.3,71.9,42.1,168.1
Kahakili Transect 1_16.tif:mc1,Kahekili,1,M. capitata,2.6,6.2,2.2,1.5,10.4
Kahakili Transect 1_16.tif:mc10,Kahekili,1,M. capitata,3.8,7.8,2.6,1.9,71.1
Kahakili Transect 1_16.tif:mc2,Kahekili,1,M. capitata,2.6,6.2,2,1.7,80
Kahakili Transect 1_16.tif:mc3,Kahekili,1,M. capitata,1,4.2,1.6,0.8,148
Kahakili Transect 1_16.tif:mc4,Kahekili,1,M. capitata,1.5,5,2,1,22.5
Kahakili Transect 1_16.tif:mc5,Kahekili,1,M. capitata,4.7,9.2,3.2,1.9,83.3
Kahakili Transect 1_16.tif:mc6,Kahekili,1,M. capitata,2.9,6.4,2.1,1.8,124.5
Kahakili Transect 1_16.tif:mc7,Kahekili,1,M. capitata,7,10.1,3.5,2.5,107.5
Kahakili Transect 1_16.tif:mc8,Kahekili,1,M. capitata,0.8,4.1,1.4,0.7,156.5
Kahakili Transect 1_16.tif:mc9,Kahekili,1,M. capitata,12.4,17,5.4,2.9,9.4
Kahakili Transect 1_16.tif:mp1,Kahekili,1,M. patula,1.9,5.3,1.9,1.2,151.6
Kahakili Transect 1_16.tif:mp2,Kahekili,1,M. patula,5.3,8.9,3,2.3,161.7
Kahakili Transect 1_16.tif:mp3,Kahekili,1,M. patula,3.5,10.5,4.4,1,26.5
Kahakili Transect 1_16.tif:mp4,Kahekili,1,M. patula,35.7,33.2,8.8,5.2,59.5
Kahakili Transect 1_16.tif:mp5,Kahekili,1,M. patula,10.5,18.4,4.8,2.8,99.2
Kahakili Transect 1_16.tif:mp6,Kahekili,1,M. patula,3.4,7.4,2.8,1.6,161.7
Kahakili Transect 1_16.tif:mp7,Kahekili,1,M. patula,117.6,52.2,13.4,11.1,44.5
Kahakili Transect 1_16.tif:mp8,Kahekili,1,M. patula,25.4,23.9,6.9,4.7,28.9
Kahakili Transect 1_16.tif:pl1,Kahekili,1,P. lobata,56.8,38.4,14.4,5,26.1
Kahakili Transect 1_16.tif:pm1,Kahekili,1,P. meandrina,117.4,48.8,14.8,10.1,164.3
Kahakili Transect 1_17.tif:mc1,Kahekili,1,M. capitata,42.1,29.5,10.3,5.2,58.8
Kahakili Transect 1_17.tif:mc2,Kahekili,1,M. capitata,12.1,19.6,4,3.8,136
Kahakili Transect 1_17.tif:mc3,Kahekili,1,M. capitata,15,19.7,5.5,3.5,103
Kahakili Transect 1_17.tif:mc4,Kahekili,1,M. capitata,19.3,18.2,6.5,3.8,43.6
Kahakili Transect 1_17.tif:mc5,Kahekili,1,M. capitata,2.2,5.8,2.2,1.3,144.2
Kahakili Transect 1_17.tif:mc6,Kahekili,1,M. capitata,4,8.2,3.1,1.6,85.7
Kahakili Transect 1_17.tif:mc7,Kahekili,1,M. capitata,1.5,4.6,1.6,1.2,62.2
Kahakili Transect 1_17.tif:mp1,Kahekili,1,M. patula,143.4,56.4,15.6,11.7,121.6
Kahakili Transect 1_17.tif:mp2,Kahekili,1,M. patula,158.4,83.3,17.6,11.4,54
Kahakili Transect 1_17.tif:mp3,Kahekili,1,M. patula,63.2,47.5,14.8,5.4,21.8
Kahakili Transect 1_17.tif:mp4,Kahekili,1,M. patula,15.9,18.9,6.5,3.1,24.5
Kahakili Transect 1_17.tif:mp5,Kahekili,1,M. patula,16.1,23.2,6.6,3.1,2.5
Kahakili Transect 1_17.tif:mp6,Kahekili,1,M. patula,9.5,17.5,5,2.4,60.9
Kahakili Transect 1_17.tif:mp7,Kahekili,1,M. patula,2.2,6.1,2.1,1.3,147.8
Kahakili Transect 1_17.tif:pc1,Kahekili,1,P. compressa,26.4,24.8,6.9,4.9,53.2
Kahakili Transect 1_17.tif:pm1,Kahekili,1,P. meandrina,168.8,66.9,16.3,13.2,135.2
Kahakili Transect 1_18.tif:mc1,Kahekili,1,M. capitata,1.9,6.1,2.4,1,140.7
Kahakili Transect 1_18.tif:mc10,Kahekili,1,M. capitata,2.5,6.7,2.2,1.4,21.5
Kahakili Transect 1_18.tif:mc11,Kahekili,1,M. capitata,2.3,6.1,2.2,1.4,150.7
Kahakili Transect 1_18.tif:mc12,Kahekili,1,M. capitata,2.5,8.2,2.5,1.3,134.4
